"TIPO DE EMERGENCIA","Hora"
1,15
1,15
0,16
1,16
0,19
1,20
1,23
1,23
0,3
1,20
1,23
1,8
0,14
1,14
1,18
0,22
1,8
0,9
0,10
1,11
0,13
0,13
0,14
0,14
0,14
0,16
0,18
0,18
0,19
1,17
0,17
0,23
0,14
0,16
0,16
0,16
1,23
0,0
0,2
0,7
1,11
0,1
0,16
0,21
0,23
1,23
0,23
0,0
0,0
1,5
0,14
0,16
1,9
1,10
0,14
1,18
1,0
0,0
1,7
0,12
0,14
0,16
0,21
0,22
0,5
0,5
0,19
1,20
1,20
0,1
0,6
1,8
1,9
1,12
1,17
1,17
0,17
1,20
1,20
1,20
0,22
1,22
1,22
0,5
0,13
1,15
1,19
1,21
1,21
0,23
0,0
0,0
1,1
1,1
0,8
1,8
0,8
0,14
0,16
0,18
0,22
1,14
0,15
0,16
1,17
1,18
0,18
1,20
0,23
0,23
1,10
1,12
0,17
0,1
0,2
0,3
0,10
0,12
0,13
0,23
0,2
1,9
0,21
1,21
1,23
1,1
0,2
1,8
1,8
0,20
0,0
0,0
0,1
0,1
0,2
0,2
0,2
0,2
1,19
1,9
0,12
0,16
0,22
1,16
0,16
0,17
0,19
1,7
0,11
0,12
1,15
1,17
0,22
0,23
0,18
0,19
0,20
0,8
0,21
0,22
0,0
0,14
0,16
0,17
0,18
0,18
0,19
0,19
0,21
0,22
0,2
1,7
1,7
1,9
0,15
0,18
0,11
0,11
0,12
0,19
1,19
0,19
0,21
1,22
1,12
0,11
1,12
0,14
0,15
1,17
1,21
0,1
0,20
0,20
1,16
1,20
0,22
1,22
0,10
0,17
1,18
0,19
0,22
0,7
1,8
1,12
1,13
0,16
0,19
1,21
0,11
0,13
0,14
0,14
1,18
0,18
0,19
0,15
1,15
0,16
0,21
1,21
0,23
0,0
0,11
1,19
0,14
0,15
0,18
1,19
1,2
0,12
1,20
1,20
0,8
1,10
0,12
0,13
0,14
0,18
0,20
0,21
1,21
0,22
1,22
1,14
1,15
0,15
0,15
0,14
0,16
0,18
0,20
0,22
0,18
0,23
1,22
0,1
1,11
1,15
0,7
1,12
1,16
0,19
1,21
0,22
1,23
0,0
0,16
0,17
1,18
0,19
1,23
0,9
1,10
0,12
0,13
0,13
0,20
0,0
1,2
1,14
0,17
1,18
0,21
0,22
0,22
0,1
0,2
0,10
1,18
0,22
1,6
0,8
0,9
0,10
0,10
0,10
0,11
0,11
0,12
0,13
0,13
0,14
0,23
1,3
0,6
0,7
1,8
0,11
0,13
1,18
1,21
1,21
1,21
0,21
0,21
0,16
0,16
1,4
0,22
0,23
0,0
0,15
0,16
0,18
0,12
0,13
0,15
0,22
0,11
0,12
0,14
0,15
0,16
1,17
0,18
0,19
0,20
1,14
0,19
0,23
0,23
0,0
1,12
1,12
1,12
0,7
0,14
0,19
0,0
1,6
1,6
0,8
0,11
1,18
0,18
0,20
0,21
0,23
0,4
0,5
1,7
1,8
0,12
0,12
1,13
1,1
1,1
0,4
1,4
1,12
0,12
1,13
1,16
0,22
1,23
0,0
1,10
0,14
1,16
1,18
0,18
0,19
1,6
1,7
0,8
0,8
1,9
0,10
0,12
1,14
0,15
0,15
0,20
0,22
0,22
0,22
0,12
0,16
0,17
0,18
0,18
0,19
0,23
0,9
0,10
0,11
1,15
1,7
1,7
0,18
0,20
1,22
0,23
0,2
0,7
0,9
0,18
1,22
0,0
0,4
1,6
1,9
1,17
0,18
1,19
0,10
1,21
0,9
1,9
0,10
0,17
0,17
1,18
1,20
1,6
1,6
1,17
1,17
0,20
1,11
1,12
1,10
0,10
0,10
0,16
0,18
0,20
1,1
0,1
1,1
0,9
1,14
1,16
0,22
1,5
0,7
1,21
1,23
0,9
0,10
0,17
0,23
0,0
0,4
0,9
0,10
0,13
1,20
1,21
1,7
1,13
1,13
0,15
1,16
0,20
0,20
0,20
0,23
0,7
0,12
0,16
1,20
0,0
0,15
1,12
1,17
1,21
0,23
0,3
0,3
0,3
0,3
0,7
0,10
0,11
0,12
0,12
0,12
0,13
0,14
0,14
0,16
0,17
0,17
0,22
0,7
0,7
0,8
0,9
0,21
0,3
1,7
1,9
0,13
0,14
0,15
0,15
0,15
1,20
0,20
0,2
1,8
1,13
0,17
1,17
0,9
0,9
1,14
0,17
0,17
0,18
0,19
0,19
0,20
0,20
0,23
1,3
1,10
0,11
0,11
0,16
1,22
1,1
1,1
1,11
1,12
1,18
0,22
1,22
1,0
0,1
1,16
0,22
0,3
1,6
1,6
0,8
0,11
0,16
0,16
0,17
0,10
0,14
0,15
0,16
0,17
0,21
0,22
0,9
0,10
0,19
0,22
1,23
0,0
1,10
0,15
0,19
0,19
0,20
0,21
1,23
1,11
0,11
1,13
0,18
0,18
1,22
1,22
1,6
0,6
0,8
0,11
1,17
1,19
1,1
0,1
0,2
0,4
0,5
0,13
0,16
0,23
0,0
0,10
0,13
0,15
0,19
0,21
0,15
0,17
1,18
0,18
0,22
0,7
0,13
0,17
0,18
0,14
1,18
0,19
1,9
0,13
1,17
0,21
0,21
0,21
1,7
1,18
1,10
0,15
0,21
0,15
0,12
1,20
0,20
0,21
0,13
0,15
1,15
0,20
0,21
0,19
0,21
0,9
0,13
0,13
0,18
0,18
0,3
0,10
0,12
1,14
1,17
1,20
0,21
1,10
1,14
0,19
1,20
1,22
1,2
0,13
1,15
1,19
0,20
0,20
0,12
0,14
0,22
0,3
0,10
0,13
1,13
1,14
1,21
0,22
0,3
0,9
1,15
0,23
0,23
0,0
0,1
0,7
0,7
1,13
0,14
1,15
1,16
0,17
1,19
1,21
0,1
0,20
0,1
0,14
1,16
0,18
0,21
1,23
0,23
1,6
0,9
0,10
0,10
1,15
1,19
0,21
0,0
0,12
1,16
0,14
0,15
0,18
1,18
0,18
0,22
0,5
0,9
0,18
0,14
0,19
1,22
0,8
1,9
0,10
0,22
0,22
0,23
0,23
0,23
0,15
0,15
1,20
0,21
0,12
0,12
0,17
0,0
0,0
0,16
0,18
0,19
0,1
1,3
1,10
1,7
1,9
0,13
0,15
1,16
0,16
0,16
0,17
0,21
0,21
0,21
0,22
1,14
0,14
1,15
1,15
0,15
0,19
0,23
1,9
0,14
0,18
0,20
0,21
0,2
0,10
1,11
0,14
0,16
0,16
1,20
1,12
0,15
1,15
1,17
0,21
1,22
1,22
0,14
0,17
0,18
0,18
1,19
1,19
0,19
0,8
0,13
0,13
1,15
0,15
1,16
0,16
0,22
0,0
0,13
0,20
0,21
0,21
0,1
1,3
1,3
1,10
1,12
0,12
0,16
0,17
1,18
0,8
1,12
1,18
1,11
0,12
0,17
0,21
0,14
0,14
0,14
1,21
1,7
0,16
0,23
1,9
1,10
0,16
0,10
0,13
0,14
1,15
0,18
1,20
1,20
1,21
0,23
1,2
1,2
0,5
0,8
0,10
0,12
1,14
0,15
1,17
1,21
0,22
0,0
1,4
0,10
1,18
0,20
0,13
1,14
1,14
0,15
0,15
0,17
1,19
1,23
0,10
0,12
0,13
0,14
1,14
1,15
1,16
1,17
0,18
0,18
1,22
0,9
0,13
1,17
0,20
0,20
0,22
0,22
0,23
0,23
0,3
0,11
0,11
0,11
0,18
0,18
0,19
0,19
0,11
0,18
0,19
0,20
0,21
0,21
0,23
0,15
0,19
0,20
0,20
0,0
0,7
1,7
0,10
1,13
0,16
0,23
1,14
1,14
1,14
1,14
1,17
1,18
0,19
0,1
1,6
1,6
1,8
0,9
1,18
1,19
1,19
0,21
1,22
0,22
0,22
0,23
0,0
0,0
0,17
1,18
1,18
0,11
1,11
0,13
0,13
0,18
1,19
1,10
0,15
0,23
1,2
1,3
1,16
0,21
0,11
1,20
1,10
0,14
1,16
1,11
0,13
1,18
0,23
0,23
0,0
0,0
1,10
0,13
1,15
1,15
0,17
0,19
1,20
0,1
1,8
0,15
0,15
0,15
0,15
0,19
0,19
1,18
0,21
0,3
0,14
1,18
0,1
1,8
0,14
1,21
1,21
1,21
0,22
0,0
0,9
1,14
0,17
1,20
1,0
0,0
1,7
0,15
0,22
0,23
0,0
1,11
1,12
0,13
0,13
1,22
0,5
0,7
1,7
1,9
1,13
1,20
1,22
1,5
0,12
0,20
1,0
1,10
1,10
1,11
1,12
0,14
1,15
0,16
1,12
0,19
1,21
0,0
0,7
1,9
1,9
1,9
0,9
0,20
1,20
1,21
0,11
2,14
1,5
0,22
1,14
1,16
1,16
1,16
1,19
0,19
1,8
1,11
0,14
0,18
0,20
0,21
1,11
0,13
0,15
0,17
0,18
0,20
1,10
0,14
0,14
1,20
1,21
0,22
0,16
0,21
0,21
0,1
1,7
0,18
1,18
0,0
0,9
1,10
1,10
1,14
0,22
1,22
1,4
0,11
0,11
1,18
1,18
0,10
0,11
0,22
0,3
0,3
1,4
0,9
1,13
1,14
0,16
0,16
1,19
1,7
1,10
1,13
0,15
0,16
1,18
1,21
0,21
0,22
0,9
0,14
0,15
1,16
0,19
0,20
0,20
0,0
0,13
0,17
1,22
1,23
1,0
1,14
1,15
1,15
1,21
0,21
1,21
1,1
0,3
0,9
0,17
0,20
1,4
1,9
2,14
1,16
1,16
0,17
1,19
1,20
0,21
1,22
0,23
0,9
0,9
1,9
1,9
0,12
0,15
1,15
0,20
1,21
0,21
0,21
0,22
0,23
0,23
0,0
0,0
0,6
1,6
0,8
0,9
1,10
0,13
1,14
0,14
0,15
0,17
0,21
0,23
0,1
0,5
1,6
0,10
1,18
1,21
1,0
0,9
1,10
0,11
0,12
0,17
1,18
1,18
1,19
0,14
0,19
1,20
0,21
1,7
1,10
0,19
0,20
0,21
0,21
0,21
0,22
0,23
0,16
0,21
0,23
1,8
1,14
1,7
1,8
0,9
0,10
1,10
1,13
0,16
0,16
0,17
0,19
1,22
1,14
0,14
0,18
1,20
1,21
0,10
0,16
1,17
0,17
1,17
0,22
1,3
1,4
0,14
0,21
1,5
0,11
0,15
0,16
0,18
0,20
0,22
0,1
0,11
1,12
0,13
0,15
0,15
0,16
0,20
0,0
0,7
1,13
0,8
0,11
0,23
1,0
0,13
1,14
0,20
0,21
1,22
1,1
1,2
0,2
1,10
1,11
1,11
1,16
0,18
0,18
0,21
0,21
1,1
0,6
0,11
1,14
1,15
0,23
1,6
0,7
1,9
0,9
0,11
0,19
1,20
1,6
1,10
1,16
0,19
0,21
1,22
0,22
1,7
0,7
0,9
1,12
0,14
0,14
0,16
0,16
0,18
0,19
1,20
0,20
1,20
0,21
0,22
0,23
0,23
1,0
1,5
1,9
1,12
0,13
0,14
1,16
1,16
0,18
0,19
1,19
0,21
1,2
0,5
1,8
1,9
1,9
1,10
1,11
0,19
0,19
0,20
0,21
0,21
1,21
0,21
0,22
1,1
0,3
1,4
1,13
1,15
0,16
1,18
1,22
1,10
1,10
0,14
2,16
1,16
0,18
0,7
1,8
1,13
1,17
0,20
0,20
1,5
0,8
0,13
1,13
1,14
0,14
1,15
0,16
1,18
0,20
0,0
1,6
1,8
1,8
1,14
0,16
1,18
0,19
0,22
0,0
1,2
0,11
1,12
0,12
1,16
1,18
1,21
1,21
0,22
